# Per-particle forces (Hartree/Bohr). Reference: cav-hoomd.
# particle  Fx_openmm  Fy_openmm  Fz_openmm  Fx_hoomd  Fy_hoomd  Fz_hoomd  max_abs_diff
100  1.956054e-02  -2.588362e-02  2.065481e-02  1.955989e-02  -2.588308e-02  2.065514e-02  6.498696e-07
101  -1.948984e-02  2.546259e-02  -1.972052e-02  -1.949322e-02  2.545985e-02  -1.972034e-02  3.386823e-06
102  -9.256409e-03  2.185638e-02  2.877539e-04  -9.256212e-03  2.185398e-02  2.907646e-04  3.010694e-06
103  6.796545e-03  -2.294113e-02  1.065899e-03  6.798272e-03  -2.293850e-02  1.067848e-03  2.627938e-06
104  1.770546e-02  -1.032381e-03  1.245873e-03  1.770191e-02  -1.032048e-03  1.246141e-03  3.546781e-06
105  -1.852437e-02  -1.287904e-03  1.602744e-03  -1.852413e-02  -1.289468e-03  1.601960e-03  1.563363e-06
106  -7.273944e-03  1.694017e-02  -2.613322e-03  -7.274902e-03  1.694159e-02  -2.611602e-03  1.720333e-06
107  7.462408e-03  -1.690636e-02  6.335465e-03  7.460275e-03  -1.690826e-02  6.337299e-03  2.132640e-06
108  4.461707e-03  -7.317867e-03  -3.680398e-03  4.463577e-03  -7.316810e-03  -3.682643e-03  2.244476e-06
109  -3.733684e-03  6.970219e-03  3.264928e-03  -3.735644e-03  6.967477e-03  3.263845e-03  2.741224e-06
110  -9.931208e-03  1.031150e-02  -7.237018e-04  -9.931220e-03  1.031249e-02  -7.238131e-04  9.807320e-07
111  9.994461e-03  -1.220431e-02  1.176758e-03  9.992676e-03  -1.220425e-02  1.175885e-03  1.784454e-06
112  -2.682607e-03  -2.181248e-02  -2.378702e-02  -2.684048e-03  -2.181309e-02  -2.378927e-02  2.253110e-06
113  3.772258e-03  2.250869e-02  2.384464e-02  3.772840e-03  2.250814e-02  2.384190e-02  2.734865e-06
114  1.875682e-03  1.423222e-03  -1.503760e-02  1.874465e-03  1.423567e-03  -1.503937e-02  1.773846e-06
115  -3.442245e-04  5.753226e-04  1.622737e-02  -3.427591e-04  5.779471e-04  1.622766e-02  2.624484e-06
116  4.504364e-03  1.062354e-02  -1.825518e-03  4.505090e-03  1.062433e-02  -1.821810e-03  3.708029e-06
117  -6.295367e-03  -1.168046e-02  2.424086e-03  -6.293050e-03  -1.168324e-02  2.422609e-03  2.776163e-06
118  6.592709e-03  1.156750e-02  -1.258893e-03  6.591812e-03  1.156770e-02  -1.259976e-03  1.082970e-06
119  -5.883624e-03  -1.069355e-02  1.468373e-03  -5.878595e-03  -1.068985e-02  1.469771e-03  5.028742e-06
120  -2.721776e-03  2.369534e-03  -6.092465e-04  -2.720057e-03  2.371059e-03  -6.082790e-04  1.719027e-06
121  3.075523e-03  -1.377741e-03  -1.935232e-04  3.077623e-03  -1.381327e-03  -1.920083e-04  3.585861e-06
122  -9.468701e-03  -4.077643e-03  -3.853622e-03  -9.464575e-03  -4.076896e-03  -3.852703e-03  4.125855e-06
123  1.256915e-02  2.141715e-03  2.924413e-03  1.256698e-02  2.143460e-03  2.923918e-03  2.174205e-06
124  -2.535385e-04  6.665755e-04  9.549374e-04  -2.562817e-04  6.662801e-04  9.539870e-04  2.743200e-06
125  -1.506437e-04  -4.608324e-04  -8.398520e-04  -1.502434e-04  -4.614418e-04  -8.416766e-04  1.824604e-06
126  1.059072e-02  -1.969934e-02  3.386094e-03  1.059409e-02  -1.969988e-02  3.386323e-03  3.377994e-06
127  -1.092396e-02  2.116040e-02  -1.107007e-03  -1.092535e-02  2.116244e-02  -1.107844e-03  2.039965e-06
128  -9.661478e-03  2.022732e-03  1.356898e-02  -9.660636e-03  2.021528e-03  1.356868e-02  1.203468e-06
129  8.701727e-03  -3.279760e-03  -1.435737e-02  8.703708e-03  -3.281085e-03  -1.435583e-02  1.980808e-06
130  2.683611e-02  7.491884e-03  -2.031563e-02  2.683222e-02  7.489127e-03  -2.031146e-02  4.170834e-06
131  -2.285833e-02  -9.831726e-03  1.968177e-02  -2.285773e-02  -9.831906e-03  1.968190e-02  5.917161e-07
132  4.565342e-02  1.704786e-02  -3.547863e-02  4.565551e-02  1.704852e-02  -3.548008e-02  2.095617e-06
133  -4.498599e-02  -1.610363e-02  3.570534e-02  -4.498348e-02  -1.610596e-02  3.570654e-02  2.513788e-06
134  7.010632e-03  8.329966e-03  -5.362179e-03  7.011128e-03  8.327130e-03  -5.359159e-03  3.020030e-06
135  -9.335536e-03  -7.851009e-03  3.364752e-03  -9.334434e-03  -7.849158e-03  3.366263e-03  1.851579e-06
136  2.614042e-03  1.732059e-02  1.223876e-02  2.614343e-03  1.732597e-02  1.224009e-02  5.383153e-06
137  -1.879124e-03  -1.691186e-02  -1.327731e-02  -1.878704e-03  -1.691134e-02  -1.327668e-02  6.291991e-07
138  6.209361e-03  7.938544e-04  -1.842003e-03  6.211136e-03  7.908429e-04  -1.842755e-03  3.011566e-06
139  -6.100910e-03  4.941226e-04  1.877095e-03  -6.093495e-03  4.917848e-04  1.879592e-03  7.415068e-06
140  -2.415984e-03  -8.628079e-04  -4.052875e-03  -2.416118e-03  -8.658948e-04  -4.052976e-03  3.086891e-06
141  9.573837e-04  2.434698e-03  4.911123e-03  9.557039e-04  2.433914e-03  4.912467e-03  1.679830e-06
142  5.900616e-03  -2.283857e-02  2.400164e-02  5.901441e-03  -2.284092e-02  2.400261e-02  2.354227e-06
143  -2.276921e-03  2.295149e-02  -2.341088e-02  -2.277098e-03  2.295056e-02  -2.341296e-02  2.075617e-06
144  3.810142e-02  -3.416751e-02  1.270548e-02  3.809964e-02  -3.416917e-02  1.270486e-02  1.772845e-06
145  -3.975378e-02  3.558479e-02  -1.263019e-02  -3.975357e-02  3.558554e-02  -1.262597e-02  4.214954e-06
146  -2.789181e-03  6.647038e-03  -1.339314e-02  -2.790828e-03  6.643752e-03  -1.339195e-02  3.285990e-06
147  5.289280e-04  -9.132904e-03  1.314791e-02  5.295851e-04  -9.131720e-03  1.314421e-02  3.698905e-06
148  -1.804251e-04  -3.352815e-03  -2.062328e-03  -1.827861e-04  -3.353457e-03  -2.060577e-03  2.360997e-06
149  8.336315e-04  2.110440e-03  2.285833e-03  8.354807e-04  2.110626e-03  2.284071e-03  1.849159e-06
150  2.653656e-03  -6.395201e-04  -2.824246e-03  2.648699e-03  -6.409894e-04  -2.823365e-03  4.957276e-06
151  -3.368370e-03  1.494344e-03  3.334168e-03  -3.370159e-03  1.493667e-03  3.332929e-03  1.789235e-06
152  1.206257e-02  -1.767740e-02  -1.348655e-02  1.206162e-02  -1.767943e-02  -1.348706e-02  2.034659e-06
153  -1.138584e-02  2.216901e-02  1.114991e-02  -1.138682e-02  2.216646e-02  1.114782e-02  2.557445e-06
154  2.035726e-04  -1.079022e-03  2.348982e-03  2.006985e-04  -1.079773e-03  2.349902e-03  2.874121e-06
155  1.119764e-03  3.745024e-04  -3.002658e-03  1.120692e-03  3.763031e-04  -3.001413e-03  1.800691e-06
156  7.759735e-03  7.894466e-03  5.583749e-03  7.761143e-03  7.894537e-03  5.583831e-03  1.407985e-06
157  -6.576941e-03  -9.197495e-03  -4.599143e-03  -6.574603e-03  -9.197393e-03  -4.598725e-03  2.337919e-06
158  -3.230591e-03  -1.791515e-03  2.940897e-03  -3.234152e-03  -1.792837e-03  2.941905e-03  3.560248e-06
159  3.745031e-03  3.173073e-03  -8.069585e-04  3.743395e-03  3.170126e-03  -8.059353e-04  2.947031e-06
160  -5.455040e-05  4.461152e-04  4.719189e-03  -5.776752e-05  4.437199e-04  4.716200e-03  3.217125e-06
161  -9.323229e-04  -7.224418e-04  -3.665781e-03  -9.334704e-04  -7.200228e-04  -3.666466e-03  2.418926e-06
162  -2.623251e-02  2.474322e-02  4.243199e-03  -2.623180e-02  2.474415e-02  4.244384e-03  1.185332e-06
163  2.579651e-02  -2.551415e-02  -3.431135e-03  2.579522e-02  -2.551414e-02  -3.432249e-03  1.292901e-06
164  2.766741e-03  -1.940964e-02  -8.656904e-03  2.767480e-03  -1.940918e-02  -8.655662e-03  1.242004e-06
165  -1.117707e-03  1.909116e-02  9.031137e-03  -1.117222e-03  1.909068e-02  9.030777e-03  4.846616e-07
166  1.634810e-02  2.619168e-02  -1.670577e-02  1.634758e-02  2.619559e-02  -1.670818e-02  3.906326e-06
167  -1.401034e-02  -2.562407e-02  1.373054e-02  -1.401027e-02  -2.562458e-02  1.373036e-02  5.179138e-07
168  5.852285e-03  1.916767e-03  1.529229e-03  5.851092e-03  1.919975e-03  1.529311e-03  3.207937e-06
169  -7.877035e-03  -2.980128e-03  -1.097330e-03  -7.875557e-03  -2.981628e-03  -1.093988e-03  3.342113e-06
170  -5.757799e-03  -1.977185e-02  -3.474685e-03  -5.758364e-03  -1.976894e-02  -3.474584e-03  2.905134e-06
171  3.325972e-03  1.844886e-02  1.557422e-03  3.327168e-03  1.844998e-02  1.553702e-03  3.719640e-06
172  -3.602364e-02  -1.004672e-02  3.304486e-03  -3.602309e-02  -1.004602e-02  3.304206e-03  7.006400e-07
173  3.596277e-02  1.194278e-02  -3.879484e-03  3.596292e-02  1.194165e-02  -3.878127e-03  1.356691e-06
174  -4.157213e-03  -7.850400e-03  1.686459e-03  -4.160080e-03  -7.846821e-03  1.684619e-03  3.579116e-06
175  3.615026e-03  7.183997e-03  -1.418104e-03  3.616191e-03  7.185030e-03  -1.417788e-03  1.164397e-06
176  1.817513e-02  2.025144e-02  5.845591e-03  1.817239e-02  2.025077e-02  5.844534e-03  2.745940e-06
177  -1.963644e-02  -2.035266e-02  -6.032309e-03  -1.963594e-02  -2.035102e-02  -6.028770e-03  3.539279e-06
178  9.102586e-03  1.206614e-02  6.507863e-03  9.103031e-03  1.206530e-02  6.505982e-03  1.881431e-06
179  -1.193022e-02  -1.064559e-02  -4.057562e-03  -1.192789e-02  -1.064530e-02  -4.060019e-03  2.457164e-06
180  -4.883557e-04  -1.250512e-02  6.023168e-03  -4.894305e-04  -1.250538e-02  6.025394e-03  2.225679e-06
181  2.299814e-04  1.165927e-02  -5.464292e-03  2.293023e-04  1.166213e-02  -5.464081e-03  2.860438e-06
182  2.082269e-02  2.098362e-02  3.705735e-02  2.082271e-02  2.098352e-02  3.705891e-02  1.553685e-06
183  -2.000462e-02  -2.128627e-02  -3.833038e-02  -2.000465e-02  -2.128443e-02  -3.833067e-02  1.839964e-06
184  1.965650e-02  -5.596873e-03  -2.054635e-02  1.965681e-02  -5.592617e-03  -2.054866e-02  4.255878e-06
185  -1.927083e-02  5.843816e-03  1.946997e-02  -1.926968e-02  5.843797e-03  1.947097e-02  1.147717e-06
186  -7.500316e-03  7.415421e-06  7.763574e-03  -7.500243e-03  7.249171e-06  7.763255e-03  3.187956e-07
187  7.771816e-03  8.050603e-04  -6.383855e-03  7.770759e-03  8.039259e-04  -6.382247e-03  1.608113e-06
188  2.276803e-03  7.262656e-03  1.499245e-03  2.279470e-03  7.256757e-03  1.498822e-03  5.899272e-06
189  -9.855757e-04  -4.485141e-03  -2.091555e-04  -9.861672e-04  -4.479992e-03  -2.084863e-04  5.148896e-06
190  -4.250547e-03  -2.377803e-03  2.837819e-02  -4.249031e-03  -2.377729e-03  2.837490e-02  3.294409e-06
191  1.592277e-03  4.216119e-03  -2.868439e-02  1.591701e-03  4.216784e-03  -2.868165e-02  2.739388e-06
192  2.951192e-03  -3.116210e-03  -1.332197e-03  2.949169e-03  -3.118402e-03  -1.335411e-03  3.213931e-06
193  -4.456119e-03  3.504532e-03  1.889866e-03  -4.454053e-03  3.505815e-03  1.890255e-03  2.066499e-06
194  -2.087765e-03  -4.018190e-04  1.171361e-03  -2.085521e-03  -4.024656e-04  1.169552e-03  2.243316e-06
195  1.994012e-03  2.802693e-04  -2.157240e-04  1.991203e-03  2.800472e-04  -2.171779e-04  2.809057e-06
196  5.496023e-04  7.137773e-04  -2.986857e-03  5.522529e-04  7.139559e-04  -2.988279e-03  2.650602e-06
197  6.552081e-06  -1.169891e-04  2.262481e-03  9.763227e-06  -1.145655e-04  2.263255e-03  3.211146e-06
198  6.478006e-03  -1.374455e-02  -2.751849e-03  6.481559e-03  -1.374508e-02  -2.748917e-03  3.552993e-06
199  -8.292536e-03  1.424069e-02  4.675912e-03  -8.293679e-03  1.423889e-02  4.673156e-03  2.756367e-06
200  -1.047258e-02  3.030981e-02  -3.195675e-02  -1.047391e-02  3.031125e-02  -3.195897e-02  2.216296e-06
201  9.846608e-03  -3.133096e-02  3.398018e-02  9.847970e-03  -3.133101e-02  3.397750e-02  2.678644e-06
202  1.067232e-03  1.619714e-03  1.410188e-02  1.065720e-03  1.621557e-03  1.410107e-02  1.842859e-06
203  -2.245750e-03  -1.398324e-03  -1.460144e-02  -2.242378e-03  -1.397773e-03  -1.460105e-02  3.371787e-06
204  -4.077575e-03  9.876779e-03  1.238354e-04  -4.080270e-03  9.876885e-03  1.225558e-04  2.695175e-06
205  3.507338e-03  -1.006885e-02  1.862757e-04  3.505094e-03  -1.006851e-02  1.858510e-04  2.244173e-06
206  -6.895109e-02  1.131928e-02  -2.868090e-02  -6.894785e-02  1.131957e-02  -2.867790e-02  3.242004e-06
207  6.938031e-02  -1.240043e-02  2.877492e-02  6.937388e-02  -1.240256e-02  2.877591e-02  6.430235e-06
208  4.787023e-03  3.089170e-03  -1.025357e-04  4.785023e-03  3.090945e-03  -1.034852e-04  1.999188e-06
