# Per-particle forces (Hartree/Bohr). Reference: cav-hoomd.
# particle  Fx_openmm  Fy_openmm  Fz_openmm  Fx_hoomd  Fy_hoomd  Fz_hoomd  max_abs_diff
101  -1.940401e-02  2.554723e-02  -1.971998e-02  -1.940793e-02  2.554515e-02  -1.972034e-02  3.918087e-06
102  -9.341726e-03  2.177111e-02  2.877575e-04  -9.341507e-03  2.176868e-02  2.907646e-04  3.007061e-06
103  6.881836e-03  -2.285583e-02  1.065894e-03  6.883567e-03  -2.285320e-02  1.067848e-03  2.626049e-06
104  1.761686e-02  -1.117856e-03  1.245749e-03  1.761662e-02  -1.117343e-03  1.246141e-03  5.135852e-07
105  -1.843578e-02  -1.202417e-03  1.602848e-03  -1.843884e-02  -1.204173e-03  1.601960e-03  3.054081e-06
106  -7.358664e-03  1.685344e-02  -2.613185e-03  -7.360197e-03  1.685629e-02  -2.611602e-03  2.847659e-06
107  7.547135e-03  -1.681963e-02  6.335319e-03  7.545569e-03  -1.682296e-02  6.337299e-03  3.329964e-06
108  4.018617e-03  -6.727742e-03  -3.430495e-03  4.378283e-03  -7.402105e-03  -3.682643e-03  6.743631e-04
109  -3.290607e-03  6.380082e-03  3.015047e-03  -3.650349e-03  7.052772e-03  3.263845e-03  6.726903e-04
110  -1.001628e-02  1.022599e-02  -7.236874e-04  -1.001651e-02  1.022719e-02  -7.238131e-04  1.199865e-06
111  1.007953e-02  -1.211881e-02  1.176722e-03  1.007797e-02  -1.211896e-02  1.175885e-03  1.559137e-06
112  -2.767792e-03  -2.189751e-02  -2.378671e-02  -2.769342e-03  -2.189839e-02  -2.378927e-02  2.561706e-06
113  3.857442e-03  2.259373e-02  2.384434e-02  3.858134e-03  2.259344e-02  2.384190e-02  2.434264e-06
114  1.790413e-03  1.337945e-03  -1.503831e-02  1.789170e-03  1.338273e-03  -1.503937e-02  1.242973e-06
115  -2.589440e-04  6.606173e-04  1.622809e-02  -2.574645e-04  6.632417e-04  1.622766e-02  2.624402e-06
116  4.418978e-03  1.053805e-02  -1.825500e-03  4.419795e-03  1.053903e-02  -1.821810e-03  3.689686e-06
