# Real-time dipole moment data
# time_ps dipole_x dipole_y dipole_z
3.997250 -454085.138627 34929.263334 -138297.160019
3.997500 -157306.096769 319239.840716 262843.969591
3.997750 -547940.594815 301256.301610 -567249.966739
3.998000 114108.211670 193934.117636 379750.070781
3.998250 -220333.316275 230063.721083 217494.136120
3.998500 261484.333172 376199.599568 -129566.042944
3.998750 174633.169214 207373.421986 214139.185609
3.999000 -481468.166247 18315.619015 -19932.347174
3.999250 -190824.376443 184005.903996 -107868.915779
3.999500 -33168.424931 -56293.821340 237168.098565
3.999750 -103471.156786 255428.386714 -14933.818661
4.000000 -100454.796071 87440.898620 -169042.529605
4.000250 -291703.487767 172287.319686 -282001.837114
4.000500 -441685.395191 4842.649300 -624398.378554
4.000750 -128740.673187 -221444.750839 104186.950256
4.001000 -196574.782563 30914.121973 -8187.897532
4.001250 87221.550975 356160.608429 359548.434423
4.001500 -90596.048120 -47036.847605 112103.995196
4.001750 7435.165373 -3692.306824 -441509.334896
4.002000 -754080.700812 -223754.006702 -718561.655361
4.002250 -149734.099560 -239824.408949 23910.833077
4.002500 418942.179938 249546.271687 -225285.425934
4.002750 -288270.967394 258356.171658 -99786.110147
4.003000 -45593.864046 365889.500608 -172124.720258
4.003250 -605462.683249 443788.453198 -285505.236331
4.003500 -541674.391254 128777.352820 -135695.961131
4.003750 349354.457101 857130.443002 205295.828979
4.004000 622882.044424 67438.963962 147922.663259
4.004250 -523784.457314 279465.877752 96447.653364
4.004500 -382656.273812 -44542.738884 608425.572277
4.004750 310764.904429 191716.910295 54167.501721
4.005000 417470.401628 139355.667507 -94871.000071
4.005250 71465.398054 -129454.854801 126817.828598
4.005500 -518770.359672 -100388.723919 -143950.735517
4.005750 54133.933815 -252855.503960 -451571.979620
4.006000 70192.193567 447252.778372 -394780.499668
4.006250 -719302.624244 -137199.245002 78741.509812
4.006500 -88703.493162 409485.497207 -328919.090094
4.006750 -101462.533235 -237242.337151 -338971.990051
4.007000 149451.554531 260523.696789 -83322.266109
4.007250 -392253.139003 -750763.436688 587746.666689
4.007500 -311885.932497 72140.161130 8415.402361
4.007750 -294778.043733 -90189.289895 506261.125050
4.008000 161589.630930 348474.403284 -356639.730222
4.008250 -74340.438040 99906.966768 124213.895048
4.008500 170938.746215 219475.169069 -835239.405415
4.008750 59587.821029 -352341.951798 4732.766310
4.009000 44169.122876 -274676.678089 -186185.893081
4.009250 -254152.093937 -24034.853295 -145186.878833
4.009500 856577.327442 594371.241789 -396261.774477
4.009750 -318040.786214 109370.781208 -320834.718151
4.010000 522723.931531 171432.834633 188506.293608
4.010250 56091.282115 -166413.269540 169461.206881
4.010500 -74759.055614 102235.181392 55969.354800
4.010750 -736575.113491 -41441.774226 -136735.049895
4.011000 -844798.682631 379113.646050 -316105.856161
4.011250 -362959.793071 159345.196772 160935.664312
4.011500 -185219.768567 284666.605060 -180666.446031
4.011750 -451401.350817 -38837.829521 -150260.422050
4.012000 -560942.711894 239136.341906 295282.006430
4.012250 -95966.209665 -43334.070506 -161953.445537
